"size","sex","age","wt_pctl","weight","hr","lo","hi","e_val","e_val_lo"
"Toy and Small","Female",3.5,25,6.35,3.28831470070537,2.54847701056785,4.24293157287131,3.93165982400081,3.20820234035636
"Medium","Female",3.5,25,20.8,2.36361732641222,1.5725393112433,3.55265323147886,3.01288748763246,2.0765943344023
"Standard","Female",3.5,25,43,2.60306339493261,1.93004036016674,3.51077582515047,3.26461523409423,2.52417494691663
"Large","Female",3.5,25,53.6,2.73797994041143,1.98348819776402,3.77947000770975,3.40176431438541,2.58713237597988
"Giant","Female",3.5,25,79.175,1.86791162300133,1.22648653764628,2.84478771209288,2.44986397922108,1.57028074875702
"Toy and Small","Male",3.5,25,7.7,7.32364769954899,5.75966378840988,9.31231710695338,6.95616337599414,5.91600724256871
"Medium","Male",3.5,25,24.8,5.08669856090784,3.43347502773579,7.53595178078368,5.42487393209308,4.0645056042363
"Standard","Male",3.5,25,53,5.80518185104141,4.42525197898289,7.61541636130884,5.9481731515369,4.91022054762621
"Large","Male",3.5,25,64.575,6.294010799856,4.76789760884775,8.30860374920626,6.2859396944046,5.18112349825298
"Giant","Male",3.5,25,91.325,4.35216745827969,2.93822505829106,6.44653190587293,4.85115770199368,3.59975426317595
"Toy and Small","Female",4,25,6.5,3.2803828438141,2.54799814013596,4.22328079149055,3.92432415745066,3.2077050024487
"Medium","Female",4,25,21,2.3587715746216,1.56354759912105,3.55844832889676,3.00767409083854,2.06460440988952
"Standard","Female",4,25,42.2,2.62041594986253,1.93052157573185,3.55685211531026,3.2824344139241,2.5247456907305
"Large","Female",4,25,54.1,2.74075150775909,1.98600985371634,3.78231699768626,3.40454893468913,2.59008148183877
"Giant","Female",4,25,80.35,1.87261824146093,1.22614970740439,2.8599273458014,2.45553779053599,1.56972045203058
"Toy and Small","Male",4,25,7.8,7.31663221372256,5.76354674220817,9.28822291989821,6.95176775541385,5.91875611662391
"Medium","Male",4,25,25.2,5.06272392405572,3.40510950541529,7.52726850353677,5.40680585674124,4.03875215570802
"Standard","Male",4,25,53.1,5.81507931185788,4.40879332787003,7.66993253900932,5.95515063485053,4.896960247184
"Large","Male",4,25,64.55,6.30597487170825,4.77233027769261,8.33247423559338,6.29403741373081,5.18456576223614
"Giant","Male",4,25,90.65,4.35893179335204,2.92502503148263,6.49576881380205,4.85664393368272,3.58689626660427
"Toy and Small","Female",4.5,25,6.35,3.28488353157886,2.51522829007044,4.29005186472985,3.92848755102537,3.17356855121178
"Medium","Female",4.5,25,20.35,2.38255168575227,1.55767926868865,3.64423707074167,3.03321078423382,2.05675531707066
"Standard","Female",4.5,25,43.15,2.59812211830858,1.88654180671803,3.57810175083663,3.2595311225253,2.47227931881461
"Large","Female",4.5,25,54.1125,2.73262349061892,1.95731285660954,3.81504219740173,3.39637898554113,2.55640824495567
"Giant","Female",4.5,25,79.275,1.86605974894013,1.20415537986209,2.89180204220263,2.44762950835295,1.53264887115459
"Toy and Small","Male",4.5,25,7.8,7.2950903205592,5.66476035293171,9.3946326886669,6.93825672341712,5.84853257519919
"Medium","Male",4.5,25,24.71625,5.0885258458273,3.37685341847394,7.66781736571613,5.42624933121214,4.01299991679154
"Standard","Male",4.5,25,53.15,5.7973816291893,4.31974257546927,7.78047144413703,5.94266998708251,4.82480310194215
"Large","Male",4.5,25,65.675,6.28933577295726,4.70574723677833,8.40583704875759,6.28277334548411,5.13269637853009
"Giant","Male",4.5,25,91.6375,4.34833387849206,2.88190209321706,6.56094721723695,4.84804667173168,3.54470515266753
"Toy and Small","Female",5,25,6.2,3.27682591791087,2.46924320310835,4.34853402968797,3.92103194673171,3.12531808794624
"Medium","Female",5,25,19.7,2.39821290020756,1.54641088021251,3.71920890386622,3.04996408399447,2.04162926583626
"Standard","Female",5,25,44.1,2.56722032339454,1.83670607371062,3.58828246020617,3.22763484290467,2.41205491688197
"Large","Female",5,25,54.125,2.71410922677233,1.91908065436117,3.83849885522546,3.37772764435083,2.51115653408456
"Giant","Female",5,25,78.2,1.85241893172788,1.1778393632055,2.9133479537355,2.43113464446078,1.48688294375346
"Toy and Small","Male",5,25,7.8,7.24581917554774,5.53733532531588,9.48143690787597,6.90727560277739,5.75704598186678
"Medium","Male",5,25,24.2325,5.09581626200987,3.33701328247812,7.78161223166619,5.4317344403713,3.97652150758825
"Standard","Male",5,25,53.2,5.75765739602975,4.21560776122963,7.86378158683021,5.91458648759779,4.73952395621171
"Large","Male",5,25,66.8,6.2494126547968,4.6146399279229,8.46331656206025,6.25568508759715,5.06114747372604
"Giant","Male",5,25,92.625,4.32118702039309,2.82771684247929,6.60343956109903,4.82597912214785,3.49128035690404
"Toy and Small","Female",5.5,25,6.32,3.23243119847514,2.41510086488714,4.32636649043794,3.87980268966379,3.06797279489122
"Medium","Female",5.5,25,20.625,2.32955571529659,1.4956207895366,3.62847980493267,2.97613507309934,1.97251979052039
"Standard","Female",5.5,25,43.9,2.54390174951482,1.800235834695,3.59477129966193,3.20344887748302,2.36743338347088
"Large","Female",5.5,25,53.5625,2.68931205416168,1.88288845507766,3.84111937441402,3.35265550613874,2.4678927943836
"Giant","Female",5.5,25,77.9,1.83336348253135,1.15510787290869,2.90987685038935,2.40798498886538,1.44586442905129
"Toy and Small","Male",5.5,25,7.9,7.15191219600265,5.41378138032824,9.44808156553788,6.84792295326402,5.66733826590672
