age,size,sex,weight,hr,hrLo,hrHi,eVal,eValLo
2,Standard,Female,50.4,2.723,2.087,3.554,3.387,2.706
2,Medium,Male,31.0,4.043,2.759,5.926,4.596,3.422
2,Medium,Female,26.2,2.317,1.575,3.409,2.962,2.079
2,Large,Male,72.8,5.544,4.260,7.215,5.762,4.776
2,Large,Female,60.6,2.960,2.212,3.962,3.621,2.847
2,Giant,Male,106.0,3.819,2.621,5.564,4.405,3.283
2,Giant,Female,91.1,2.031,1.384,2.981,2.643,1.815
2.5,Toy and Small,Male,11.1,5.934,4.655,7.563,6.038,5.093
2.5,Toy and Small,Female,8.9,3.379,2.638,4.330,4.015,3.300
2.5,Standard,Male,61.4,5.170,3.940,6.784,5.487,4.509
2.5,Standard,Female,50.6,2.810,2.116,3.732,3.474,2.740
2.5,Medium,Male,30.5,4.202,2.837,6.222,4.728,3.501
2.5,Medium,Female,25.7,2.412,1.623,3.583,3.064,2.144
2.5,Large,Male,73.8,5.727,4.327,7.579,5.893,4.831
2.5,Large,Female,61.7,3.056,2.254,4.142,3.713,2.894
2.5,Giant,Male,105.9,3.943,2.668,5.827,4.511,3.331
2.5,Giant,Female,90.9,2.097,1.410,3.119,2.719,1.853
3,Toy and Small,Male,11.2,6.022,4.766,7.608,6.100,5.180
3,Toy and Small,Female,9.0,3.429,2.701,4.354,4.061,3.365
3,Standard,Male,61.7,5.261,4.012,6.900,5.555,4.570
3,Standard,Female,50.8,2.858,2.154,3.792,3.521,2.783
3,Medium,Male,30.0,4.304,2.910,6.367,4.812,3.572
3,Medium,Female,25.2,2.475,1.668,3.672,3.131,2.201
3,Large,Male,74.8,5.830,4.424,7.684,5.966,4.909
3,Large,Female,62.8,3.109,2.306,4.191,3.764,2.951
3,Giant,Male,105.8,4.013,2.714,5.934,4.570,3.377
3,Giant,Female,90.7,2.134,1.435,3.176,2.761,1.887
3.5,Toy and Small,Male,11.3,6.043,4.860,7.513,6.114,5.252
3.5,Toy and Small,Female,9.0,3.451,2.761,4.313,4.080,3.425
3.5,Standard,Male,61.9,5.294,4.063,6.898,5.579,4.612
3.5,Standard,Female,50.9,2.876,2.181,3.792,3.539,2.813
3.5,Medium,Male,30.3,4.313,2.928,6.351,4.819,3.590
3.5,Medium,Female,25.9,2.463,1.668,3.637,3.119,2.201
3.5,Large,Male,74.9,5.867,4.500,7.649,5.992,4.970
3.5,Large,Female,63.9,3.128,2.347,4.169,3.782,2.995
3.5,Giant,Male,107.7,4.041,2.738,5.963,4.594,3.402
3.5,Giant,Female,90.5,2.148,1.448,3.186,2.775,1.906
4,Toy and Small,Male,11.4,6.014,4.847,7.462,6.094,5.242
4,Toy and Small,Female,9.0,3.444,2.760,4.298,4.074,3.424
4,Standard,Male,62.0,5.283,4.035,6.918,5.571,4.589
4,Standard,Female,50.9,2.870,2.165,3.804,3.533,2.795
4,Medium,Male,30.7,4.286,2.899,6.336,4.797,3.562
4,Medium,Female,26.6,2.432,1.641,3.604,3.085,2.166
4,Large,Male,75.0,5.856,4.490,7.637,5.984,4.962
4,Large,Female,65.0,3.122,2.345,4.157,3.777,2.993
4,Giant,Male,109.5,4.035,2.718,5.992,4.590,3.382
4,Giant,Female,90.4,2.143,1.437,3.196,2.771,1.891
4.5,Toy and Small,Male,11.4,5.972,4.743,7.520,6.065,5.162
4.5,Toy and Small,Female,9.0,3.420,2.701,4.331,4.052,3.364
4.5,Standard,Male,62.4,5.246,3.939,6.987,5.544,4.508
4.5,Standard,Female,50.9,2.850,2.114,3.840,3.513,2.738
4.5,Medium,Male,30.3,4.274,2.856,6.397,4.788,3.519
4.5,Medium,Female,26.7,2.410,1.606,3.615,3.062,2.121
4.5,Large,Male,75.5,5.816,4.401,7.686,5.956,4.891
4.5,Large,Female,63.9,3.100,2.296,4.188,3.756,2.939
4.5,Giant,Male,107.9,4.005,2.666,6.015,4.564,3.329
4.5,Giant,Female,93.2,2.131,1.413,3.213,2.756,1.856
5,Toy and Small,Male,11.4,5.911,4.618,7.567,6.023,5.063
5,Toy and Small,Female,9.0,3.385,2.630,4.358,4.021,3.292
5,Standard,Male,62.8,5.192,3.831,7.037,5.504,4.416
5,Standard,Female,51.0,2.820,2.057,3.866,3.484,2.673
5,Medium,Male,30.0,4.249,2.805,6.437,4.767,3.468
5,Medium,Female,26.8,2.381,1.568,3.614,3.031,2.071
5,Large,Male,76.0,5.758,4.292,7.725,5.915,4.802
5,Large,Female,62.8,3.069,2.236,4.212,3.726,2.874
5,Giant,Male,106.2,3.962,2.605,6.025,4.527,3.266
5,Giant,Female,96.0,2.111,1.383,3.223,2.734,1.813
5.5,Toy and Small,Male,11.5,5.819,4.500,7.524,5.958,4.970
5.5,Toy and Small,Female,9.2,3.327,2.559,4.325,3.967,3.220
5.5,Standard,Male,63.0,5.125,3.738,7.027,5.454,4.335
5.5,Standard,Female,50.7,2.786,2.009,3.864,3.450,2.617
5.5,Medium,Male,30.1,4.191,2.746,6.396,4.719,3.410
5.5,Medium,Female,26.9,2.348,1.535,3.591,2.996,2.026
5.5,Large,Male,76.0,5.683,4.194,7.703,5.862,4.721
5.5,Large,Female,62.7,3.029,2.186,4.199,3.688,2.818
5.5,Giant,Male,106.8,3.911,2.547,6.005,4.484,3.207
5.5,Giant,Female,92.0,2.081,1.348,3.212,2.700,1.761
6,Toy and Small,Male,11.6,5.713,4.405,7.410,5.883,4.894
6,Toy and Small,Female,9.3,3.262,2.502,4.253,3.907,3.159
6,Standard,Male,63.1,5.046,3.661,6.954,5.394,4.268
6,Standard,Female,50.4,2.745,1.969,3.828,3.409,2.570
6,Medium,Male,30.1,4.124,2.697,6.306,4.664,3.360
6,Medium,Female,26.9,2.310,1.507,3.541,2.955,1.988
6,Large,Male,76.0,5.596,4.111,7.617,5.799,4.653
6,Large,Female,62.5,2.983,2.143,4.152,3.643,2.770
6,Giant,Male,107.4,3.852,2.497,5.942,4.434,3.154
6,Giant,Female,88.1,2.046,1.315,3.182,2.659,1.711
