size,ageYears1,ageYears2,hr,lo,hi
Toy and Small,Spayed/neutered at 1.5 years,5,1.354746613436415,1.2945501208629382,1.417742238820395
Toy and Small,Spayed/neutered at 1.5 years,6,1.3745990332867881,1.311579482021351,1.4406465854443833
Toy and Small,Spayed/neutered at 2 years,0.5,0.8664987237528277,0.8036302091927037,0.9342854831446971
Toy and Small,Spayed/neutered at 2 years,1,0.8499564441020986,0.8123880644333803,0.8892621500717852
Toy and Small,Spayed/neutered at 2 years,1.5,0.9118523475900842,0.8881105993808317,0.9362287809482636
Toy and Small,Spayed/neutered at 2 years,2,1,1,1
Toy and Small,Spayed/neutered at 2 years,2.5,1.0738612864061352,1.0578359628931844,1.0901293800674865
Toy and Small,Spayed/neutered at 2 years,3,1.1301020961589658,1.1060774637789375,1.1546485572353529
Toy and Small,Spayed/neutered at 2 years,3.5,1.1706882225411233,1.1420631915326687,1.2000307203292713
Toy and Small,Spayed/neutered at 2 years,4,1.199089660333095,1.1646972923383343,1.2344976012016555
Toy and Small,Spayed/neutered at 2 years,5,1.235328879851711,1.1872207209446917,1.2853864613998558
Toy and Small,Spayed/neutered at 2 years,6,1.2534313554975967,1.197995797972044,1.311432114873916
Toy and Small,Spayed/neutered at 2.5 years,0.5,0.806900048192181,0.7470978817362074,0.8714891364160451
Toy and Small,Spayed/neutered at 2.5 years,1,0.7914955635905503,0.746620967375242,0.8390672838801613
Toy and Small,Spayed/neutered at 2.5 years,1.5,0.8491342030233319,0.8150054642654541,0.884692098836314
Toy and Small,Spayed/neutered at 2.5 years,2,0.9312189690222236,0.9173223089704207,0.9453261517645866
Toy and Small,Spayed/neutered at 2.5 years,2.5,1,1,1
Toy and Small,Spayed/neutered at 2.5 years,3,1.0523725088750049,1.0439746783274162,1.0608378923617312
Toy and Small,Spayed/neutered at 2.5 years,3.5,1.0901670796412037,1.0735327279973759,1.1070591799753084
Toy and Small,Spayed/neutered at 2.5 years,4,1.1166150372605874,1.0896802115055924,1.1442156407646795
Toy and Small,Spayed/neutered at 2.5 years,5,1.1503616858988894,1.1054456415784977,1.1971027417454116
Toy and Small,Spayed/neutered at 2.5 years,6,1.1672190546066248,1.113666077902443,1.2233472388804583
Toy and Small,Spayed/neutered at 3 years,0.5,0.7667437541244434,0.7097985057102348,0.828257568534309
Toy and Small,Spayed/neutered at 3 years,1,0.7521058911322812,0.7066766027094199,0.8004556388411791
Toy and Small,Spayed/neutered at 3 years,1.5,0.8068760784439939,0.7705353295659046,0.844930765643074
Toy and Small,Spayed/neutered at 3 years,2,0.8848758031675529,0.8660643913974676,0.9040958095136289
Toy and Small,Spayed/neutered at 3 years,2.5,0.9502338682991713,0.9426510941965992,0.9578776389501426
Toy and Small,Spayed/neutered at 3 years,3,1,1,1
Toy and Small,Spayed/neutered at 3 years,3.5,1.035913681179871,1.026692386890869,1.0452177970320307
Toy and Small,Spayed/neutered at 3 years,4,1.061045426257154,1.040654375399011,1.08183602855613
Toy and Small,Spayed/neutered at 3 years,5,1.0931126347348443,1.0543706528824088,1.1332781588243017
Toy and Small,Spayed/neutered at 3 years,6,1.1091310774113454,1.0615803313744798,1.1588117361659183
Toy and Small,Spayed/neutered at 3.5 years,0.5,0.7401618185514713,0.6861066407584543,0.7984757544917708
Toy and Small,Spayed/neutered at 3.5 years,1,0.726031429834634,0.6833238486278473,0.7714082249086036
Toy and Small,Spayed/neutered at 3.5 years,1.5,0.7789028112120212,0.7439536277613168,0.8154938247154219
Toy and Small,Spayed/neutered at 3.5 years,2,0.8541983943678673,0.8333120003174705,0.8756082915674592
