size,focal_age,comparator_age,hr,lower_95,upper_95
Medium,Spayed/neutered at 6 years,3,1.605,1.003,2.567
Medium,Spayed/neutered at 6 years,3.5,1.451,0.997,2.114
Medium,Spayed/neutered at 6 years,4,1.279,0.981,1.667
Medium,Spayed/neutered at 6 years,5,1.059,0.962,1.165
Medium,Spayed/neutered at 6 years,6,1.000,1.000,1.000
Large,Spayed/neutered at 0.5 years,0.5,1.000,1.000,1.000
Large,Spayed/neutered at 0.5 years,1,0.373,0.274,0.508
Large,Spayed/neutered at 0.5 years,1.5,0.302,0.211,0.431
Large,Spayed/neutered at 0.5 years,2,0.328,0.228,0.472
Large,Spayed/neutered at 0.5 years,2.5,0.348,0.238,0.509
Large,Spayed/neutered at 0.5 years,3,0.356,0.243,0.520
Large,Spayed/neutered at 0.5 years,3.5,0.355,0.245,0.514
Large,Spayed/neutered at 0.5 years,4,0.349,0.240,0.506
Large,Spayed/neutered at 0.5 years,5,0.337,0.226,0.502
Large,Spayed/neutered at 0.5 years,6,0.330,0.219,0.498
Large,Spayed/neutered at 1 years,0.5,2.683,1.969,3.656
Large,Spayed/neutered at 1 years,1,1.000,1.000,1.000
Large,Spayed/neutered at 1 years,1.5,0.810,0.713,0.920
Large,Spayed/neutered at 1 years,2,0.880,0.681,1.136
Large,Spayed/neutered at 1 years,2.5,0.933,0.677,1.288
Large,Spayed/neutered at 1 years,3,0.955,0.684,1.333
Large,Spayed/neutered at 1 years,3.5,0.952,0.691,1.310
Large,Spayed/neutered at 1 years,4,0.936,0.689,1.271
Large,Spayed/neutered at 1 years,5,0.904,0.663,1.234
Large,Spayed/neutered at 1 years,6,0.886,0.646,1.215
Large,Spayed/neutered at 1.5 years,0.5,3.313,2.320,4.732
Large,Spayed/neutered at 1.5 years,1,1.235,1.087,1.403
Large,Spayed/neutered at 1.5 years,1.5,1.000,1.000,1.000
Large,Spayed/neutered at 1.5 years,2,1.086,0.939,1.256
Large,Spayed/neutered at 1.5 years,2.5,1.153,0.926,1.434
Large,Spayed/neutered at 1.5 years,3,1.179,0.927,1.499
Large,Spayed/neutered at 1.5 years,3.5,1.175,0.921,1.499
Large,Spayed/neutered at 1.5 years,4,1.156,0.896,1.492
Large,Spayed/neutered at 1.5 years,5,1.117,0.826,1.509
Large,Spayed/neutered at 1.5 years,6,1.094,0.794,1.508
Large,Spayed/neutered at 2 years,0.5,3.051,2.119,4.392
Large,Spayed/neutered at 2 years,1,1.137,0.880,1.469
Large,Spayed/neutered at 2 years,1.5,0.921,0.796,1.065
Large,Spayed/neutered at 2 years,2,1.000,1.000,1.000
Large,Spayed/neutered at 2 years,2.5,1.061,0.981,1.148
Large,Spayed/neutered at 2 years,3,1.085,0.965,1.221
Large,Spayed/neutered at 2 years,3.5,1.082,0.923,1.269
Large,Spayed/neutered at 2 years,4,1.064,0.858,1.321
Large,Spayed/neutered at 2 years,5,1.028,0.752,1.406
Large,Spayed/neutered at 2 years,6,1.007,0.711,1.428
Large,Spayed/neutered at 2.5 years,0.5,2.875,1.966,4.204
Large,Spayed/neutered at 2.5 years,1,1.071,0.777,1.478
Large,Spayed/neutered at 2.5 years,1.5,0.868,0.697,1.080
Large,Spayed/neutered at 2.5 years,2,0.942,0.871,1.019
Large,Spayed/neutered at 2.5 years,2.5,1.000,1.000,1.000
Large,Spayed/neutered at 2.5 years,3,1.023,0.968,1.081
Large,Spayed/neutered at 2.5 years,3.5,1.020,0.902,1.153
Large,Spayed/neutered at 2.5 years,4,1.003,0.821,1.224
Large,Spayed/neutered at 2.5 years,5,0.969,0.707,1.327
Large,Spayed/neutered at 2.5 years,6,0.949,0.664,1.357
Large,Spayed/neutered at 3 years,0.5,2.811,1.924,4.107
Large,Spayed/neutered at 3 years,1,1.048,0.750,1.462
Large,Spayed/neutered at 3 years,1.5,0.848,0.667,1.079
Large,Spayed/neutered at 3 years,2,0.921,0.819,1.037
Large,Spayed/neutered at 3 years,2.5,0.978,0.925,1.034
Large,Spayed/neutered at 3 years,3,1.000,1.000,1.000
Large,Spayed/neutered at 3 years,3.5,0.997,0.927,1.073
Large,Spayed/neutered at 3 years,4,0.981,0.840,1.145
Large,Spayed/neutered at 3 years,5,0.947,0.719,1.248
Large,Spayed/neutered at 3 years,6,0.928,0.672,1.282
Large,Spayed/neutered at 3.5 years,0.5,2.819,1.945,4.087
Large,Spayed/neutered at 3.5 years,1,1.051,0.763,1.446
Large,Spayed/neutered at 3.5 years,1.5,0.851,0.667,1.086
Large,Spayed/neutered at 3.5 years,2,0.924,0.788,1.084
Large,Spayed/neutered at 3.5 years,2.5,0.981,0.867,1.109
Large,Spayed/neutered at 3.5 years,3,1.003,0.932,1.079
Large,Spayed/neutered at 3.5 years,3.5,1.000,1.000,1.000
Large,Spayed/neutered at 3.5 years,4,0.983,0.905,1.068
Large,Spayed/neutered at 3.5 years,5,0.950,0.774,1.167
Large,Spayed/neutered at 3.5 years,6,0.931,0.719,1.205
Large,Spayed/neutered at 4 years,0.5,2.867,1.975,4.161
Large,Spayed/neutered at 4 years,1,1.068,0.787,1.451
Large,Spayed/neutered at 4 years,1.5,0.865,0.670,1.117
Large,Spayed/neutered at 4 years,2,0.940,0.757,1.166
Large,Spayed/neutered at 4 years,2.5,0.997,0.817,1.217
Large,Spayed/neutered at 4 years,3,1.020,0.873,1.191
Large,Spayed/neutered at 4 years,3.5,1.017,0.936,1.105
Large,Spayed/neutered at 4 years,4,1.000,1.000,1.000
Large,Spayed/neutered at 4 years,5,0.966,0.853,1.094
Large,Spayed/neutered at 4 years,6,0.947,0.788,1.138
Large,Spayed/neutered at 5 years,0.5,2.967,1.993,4.418
Large,Spayed/neutered at 5 years,1,1.106,0.810,1.509
Large,Spayed/neutered at 5 years,1.5,0.896,0.663,1.210
Large,Spayed/neutered at 5 years,2,0.973,0.711,1.330
Large,Spayed/neutered at 5 years,2.5,1.032,0.754,1.413
Large,Spayed/neutered at 5 years,3,1.056,0.802,1.390
Large,Spayed/neutered at 5 years,3.5,1.053,0.857,1.292
Large,Spayed/neutered at 5 years,4,1.035,0.914,1.172
Large,Spayed/neutered at 5 years,5,1.000,1.000,1.000
Large,Spayed/neutered at 5 years,6,0.980,0.909,1.056
Large,Spayed/neutered at 6 years,0.5,3.029,2.010,4.564
Large,Spayed/neutered at 6 years,1,1.129,0.823,1.547
Large,Spayed/neutered at 6 years,1.5,0.914,0.663,1.260
Large,Spayed/neutered at 6 years,2,0.993,0.700,1.407
Large,Spayed/neutered at 6 years,2.5,1.053,0.737,1.506
Large,Spayed/neutered at 6 years,3,1.077,0.780,1.488
Large,Spayed/neutered at 6 years,3.5,1.074,0.830,1.391
Large,Spayed/neutered at 6 years,4,1.056,0.879,1.270
Large,Spayed/neutered at 6 years,5,1.021,0.947,1.100
Large,Spayed/neutered at 6 years,6,1.000,1.000,1.000
Giant,Spayed/neutered at 0.5 years,0.5,1.000,1.000,1.000
Giant,Spayed/neutered at 0.5 years,1,0.740,0.462,1.185
Giant,Spayed/neutered at 0.5 years,1.5,0.851,0.499,1.451
Giant,Spayed/neutered at 0.5 years,2,1.082,0.628,1.862
Giant,Spayed/neutered at 0.5 years,2.5,1.227,0.700,2.148
Giant,Spayed/neutered at 0.5 years,3,1.250,0.714,2.189
Giant,Spayed/neutered at 0.5 years,3.5,1.175,0.662,2.085
Giant,Spayed/neutered at 0.5 years,4,1.044,0.564,1.933
