Breed Size,Sex,Reference Age,Comparison Age,HR,Lower 95%,Upper 95%,E-value,E-value Lower 95%
Giant,Male,2,2,1.000,1.000,1.000,1.000,1.000
Giant,Male,2,2.5,1.158,1.114,1.205,1.452,1.366
Giant,Male,2,3,1.261,1.186,1.340,1.626,1.501
Giant,Male,2,3.5,1.309,1.200,1.428,1.702,1.526
Giant,Male,2,4,1.317,1.168,1.485,1.714,1.469
Giant,Male,2,4.5,1.302,1.119,1.515,1.692,1.378
Giant,Male,2,5,1.278,1.075,1.520,1.654,1.283
Giant,Male,2,5.5,1.245,1.034,1.499,1.601,1.178
Giant,Male,2,6,1.206,0.996,1.460,1.535,1.000
Giant,Male,2.5,0.5,0.604,0.504,0.723,2.186,
Giant,Male,2.5,1,0.584,0.497,0.686,2.259,
Giant,Male,2.5,1.5,0.696,0.624,0.777,1.890,
Giant,Male,2.5,2,0.863,0.830,0.898,1.452,
Giant,Male,2.5,2.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,2.5,3,1.088,1.055,1.122,1.314,1.237
Giant,Male,2.5,3.5,1.130,1.055,1.211,1.399,1.236
Giant,Male,2.5,4,1.137,1.017,1.271,1.411,1.120
Giant,Male,2.5,4.5,1.124,0.970,1.304,1.388,1.000
Giant,Male,2.5,5,1.103,0.928,1.311,1.345,1.000
Giant,Male,2.5,5.5,1.075,0.891,1.296,1.284,1.000
Giant,Male,2.5,6,1.041,0.857,1.264,1.198,1.000
Giant,Male,3,0.5,0.555,0.463,0.664,2.370,
Giant,Male,3,1,0.536,0.454,0.634,2.446,
Giant,Male,3,1.5,0.640,0.567,0.722,2.064,
Giant,Male,3,2,0.793,0.746,0.843,1.626,
Giant,Male,3,2.5,0.919,0.891,0.947,1.314,
Giant,Male,3,3,1.000,1.000,1.000,1.000,1.000
Giant,Male,3,3.5,1.038,0.997,1.082,1.191,1.000
Giant,Male,3,4,1.044,0.959,1.138,1.208,1.000
Giant,Male,3,4.5,1.033,0.913,1.169,1.176,1.000
Giant,Male,3,5,1.014,0.873,1.177,1.107,1.000
Giant,Male,3,5.5,0.988,0.837,1.166,1.102,
Giant,Male,3,6,0.956,0.803,1.139,1.211,
Giant,Male,3.5,0.5,0.534,0.447,0.638,2.455,
Giant,Male,3.5,1,0.517,0.440,0.606,2.531,
Giant,Male,3.5,1.5,0.616,0.544,0.698,2.143,
Giant,Male,3.5,2,0.764,0.700,0.833,1.702,
Giant,Male,3.5,2.5,0.885,0.826,0.948,1.399,
Giant,Male,3.5,3,0.963,0.924,1.003,1.191,
Giant,Male,3.5,3.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,3.5,4,1.006,0.961,1.053,1.068,1.000
Giant,Male,3.5,4.5,0.995,0.915,1.082,1.063,
Giant,Male,3.5,5,0.976,0.874,1.091,1.148,
Giant,Male,3.5,5.5,0.951,0.837,1.081,1.227,
Giant,Male,3.5,6,0.921,0.801,1.059,1.308,
Giant,Male,4,0.5,0.531,0.443,0.637,2.468,
Giant,Male,4,1,0.513,0.439,0.600,2.545,
Giant,Male,4,1.5,0.612,0.535,0.701,2.156,
Giant,Male,4,2,0.759,0.674,0.856,1.714,
Giant,Male,4,2.5,0.880,0.787,0.983,1.411,
Giant,Male,4,3,0.957,0.879,1.043,1.208,
Giant,Male,4,3.5,0.994,0.950,1.040,1.068,
Giant,Male,4,4,1.000,1.000,1.000,1.000,1.000
Giant,Male,4,4.5,0.989,0.951,1.029,1.095,
Giant,Male,4,5,0.971,0.908,1.038,1.167,
Giant,Male,4,5.5,0.946,0.868,1.031,1.242,
Giant,Male,4,6,0.916,0.828,1.013,1.322,
Giant,Male,4.5,0.5,0.537,0.443,0.650,2.443,
Giant,Male,4.5,1,0.519,0.443,0.608,2.520,
Giant,Male,4.5,1.5,0.619,0.533,0.719,2.133,
Giant,Male,4.5,2,0.768,0.660,0.893,1.692,
Giant,Male,4.5,2.5,0.889,0.767,1.031,1.388,
Giant,Male,4.5,3,0.968,0.855,1.096,1.176,
Giant,Male,4.5,3.5,1.005,0.924,1.093,1.063,1.000
Giant,Male,4.5,4,1.011,0.972,1.051,1.095,1.000
Giant,Male,4.5,4.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,4.5,5,0.981,0.954,1.010,1.129,
Giant,Male,4.5,5.5,0.956,0.909,1.005,1.213,
Giant,Male,4.5,6,0.926,0.864,0.992,1.296,
Giant,Male,5,0.5,0.547,0.448,0.669,2.401,
Giant,Male,5,1,0.529,0.449,0.623,2.476,
Giant,Male,5,1.5,0.631,0.536,0.743,2.093,
Giant,Male,5,2,0.783,0.658,0.931,1.654,
Giant,Male,5,2.5,0.906,0.763,1.077,1.345,
Giant,Male,5,3,0.987,0.849,1.146,1.107,
Giant,Male,5,3.5,1.024,0.917,1.145,1.148,1.000
Giant,Male,5,4,1.030,0.964,1.102,1.167,1.000
Giant,Male,5,4.5,1.019,0.991,1.049,1.129,1.000
Giant,Male,5,5,1.000,1.000,1.000,1.000,1.000
Giant,Male,5,5.5,0.974,0.952,0.997,1.154,
Giant,Male,5,6,0.944,0.901,0.988,1.248,
Giant,Male,5.5,0.5,0.562,0.457,0.690,2.343,
Giant,Male,5.5,1,0.543,0.460,0.642,2.418,
Giant,Male,5.5,1.5,0.648,0.546,0.769,2.038,
Giant,Male,5.5,2,0.803,0.667,0.967,1.601,
Giant,Male,5.5,2.5,0.930,0.771,1.122,1.284,
Giant,Male,5.5,3,1.013,0.858,1.195,1.102,1.000
Giant,Male,5.5,3.5,1.051,0.925,1.195,1.227,1.000
Giant,Male,5.5,4,1.058,0.970,1.153,1.242,1.000
Giant,Male,5.5,4.5,1.046,0.995,1.100,1.213,1.000
Giant,Male,5.5,5,1.026,1.003,1.050,1.154,1.047
Giant,Male,5.5,5.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,5.5,6,0.968,0.945,0.992,1.174,
Giant,Male,6,0.5,0.580,0.471,0.714,2.273,
Giant,Male,6,1,0.561,0.474,0.663,2.347,
Giant,Male,6,1.5,0.669,0.562,0.796,1.972,
Giant,Male,6,2,0.829,0.685,1.004,1.535,
Giant,Male,6,2.5,0.961,0.791,1.167,1.198,
Giant,Male,6,3,1.046,0.878,1.245,1.211,1.000
Giant,Male,6,3.5,1.086,0.944,1.249,1.308,1.000
Giant,Male,6,4,1.092,0.987,1.208,1.322,1.000
Giant,Male,6,4.5,1.080,1.008,1.158,1.296,1.078
Giant,Male,6,5,1.060,1.012,1.109,1.248,1.102
Giant,Male,6,5.5,1.033,1.008,1.058,1.174,1.080
Giant,Male,6,6,1.000,1.000,1.000,1.000,1.000
